Occupation,Total,Race,Percentage
Biological technicians,24,White,NA
Biological technicians,24,Black/African American,NA
Biological technicians,24,Asian,NA
Biological technicians,24,Hispanic/Latino,NA
Chemical technicians,68,Women,42.6
Chemical technicians,68,White,82.5
Chemical technicians,68,Black/African American,10.3
Chemical technicians,68,Asian,5
Chemical technicians,68,Hispanic/Latino,12.1
Environmental science and geoscience technicians,21,Women,NA
Environmental science and geoscience technicians,21,White,NA
Environmental science and geoscience technicians,21,Black/African American,NA
Environmental science and geoscience technicians,21,Asian,NA
Environmental science and geoscience technicians,21,Hispanic/Latino,NA
Nuclear technicians,7,Women,NA
Nuclear technicians,7,White,NA
Nuclear technicians,7,Black/African American,NA
Nuclear technicians,7,Asian,NA
Nuclear technicians,7,Hispanic/Latino,NA
Social science research assistants,4,Women,NA
Social science research assistants,4,White,NA
Social science research assistants,4,Black/African American,NA
Social science research assistants,4,Asian,NA
Social science research assistants,4,Hispanic/Latino,NA
"Other life, physical, and social science technicians",258,Women,54.1
"Other life, physical, and social science technicians",258,White,78
"Other life, physical, and social science technicians",258,Black/African American,4.9
"Other life, physical, and social science technicians",258,Asian,10.9
"Other life, physical, and social science technicians",258,Hispanic/Latino,10.7
Occupational health and safety specialists and technicians,85,Women,35.8
Occupational health and safety specialists and technicians,85,White,90.3
Occupational health and safety specialists and technicians,85,Black/African American,1.6
Occupational health and safety specialists and technicians,85,Asian,2.9
Occupational health and safety specialists and technicians,85,Hispanic/Latino,11.7
Community and social service occupations,2717,Women,68.8
Community and social service occupations,2717,White,72.7
Community and social service occupations,2717,Black/African American,19.9
Community and social service occupations,2717,Asian,3.4
Community and social service occupations,2717,Hispanic/Latino,13.5
Substance abuse and behavioral disorder counselors,130,Women,81.3
Substance abuse and behavioral disorder counselors,130,White,70.2
Substance abuse and behavioral disorder counselors,130,Black/African American,25.4
Substance abuse and behavioral disorder counselors,130,Asian,1.7
Substance abuse and behavioral disorder counselors,130,Hispanic/Latino,16.8
"Educational, guidance, and career counselors and advisors",343,Women,77.8
"Educational, guidance, and career counselors and advisors",343,White,73
"Educational, guidance, and career counselors and advisors",343,Black/African American,19
"Educational, guidance, and career counselors and advisors",343,Asian,4
"Educational, guidance, and career counselors and advisors",343,Hispanic/Latino,14.8
Marriage and family therapists,40,Women,NA
Marriage and family therapists,40,White,NA
Marriage and family therapists,40,Black/African American,NA
Marriage and family therapists,40,Asian,NA
Marriage and family therapists,40,Hispanic/Latino,NA
Mental health counselors,138,Women,72.9
Mental health counselors,138,White,87.5
Mental health counselors,138,Black/African American,9.4
Mental health counselors,138,Asian,2
Mental health counselors,138,Hispanic/Latino,14
Rehabilitation counselors,28,Women,NA
Rehabilitation counselors,28,White,NA
Rehabilitation counselors,28,Black/African American,NA
Rehabilitation counselors,28,Asian,NA
Rehabilitation counselors,28,Hispanic/Latino,NA
"Counselors, all other",225,Women,68.2
"Counselors, all other",225,White,75
"Counselors, all other",225,Black/African American,18.3
"Counselors, all other",225,Asian,3.7
"Counselors, all other",225,Hispanic/Latino,15.2
"Child, family, and school social workers",62,Women,89.8
"Child, family, and school social workers",62,White,65.3
"Child, family, and school social workers",62,Black/African American,26.8
"Child, family, and school social workers",62,Asian,0.6
"Child, family, and school social workers",62,Hispanic/Latino,21.3
Healthcare social workers,78,Women,87
Healthcare social workers,78,White,69
Healthcare social workers,78,Black/African American,20.3
Healthcare social workers,78,Asian,8.2
Healthcare social workers,78,Hispanic/Latino,9.2
Mental health and substance abuse social workers,24,Women,NA
Mental health and substance abuse social workers,24,White,NA
Mental health and substance abuse social workers,24,Black/African American,NA
Mental health and substance abuse social workers,24,Asian,NA
Mental health and substance abuse social workers,24,Hispanic/Latino,NA
"Social workers, all other",673,Women,85.4
"Social workers, all other",673,White,64.4
"Social workers, all other",673,Black/African American,25.7
"Social workers, all other",673,Asian,3.7
"Social workers, all other",673,Hispanic/Latino,15
Probation officers and correctional treatment specialists,105,Women,50.7
Probation officers and correctional treatment specialists,105,White,66.6
Probation officers and correctional treatment specialists,105,Black/African American,26.9
Probation officers and correctional treatment specialists,105,Asian,0.7
Probation officers and correctional treatment specialists,105,Hispanic/Latino,12.8
Social and human service assistants,230,Women,79.6
Social and human service assistants,230,White,72.6
Social and human service assistants,230,Black/African American,18.9
Social and human service assistants,230,Asian,3.2
Social and human service assistants,230,Hispanic/Latino,14.9
Other community and social service specialists,100,Women,77.6
Other community and social service specialists,100,White,61.6
Other community and social service specialists,100,Black/African American,30.4
Other community and social service specialists,100,Asian,3.3
Other community and social service specialists,100,Hispanic/Latino,12.7
Clergy,420,Women,18.5
Clergy,420,White,82.3
Clergy,420,Black/African American,11.7
Clergy,420,Asian,3.8
Clergy,420,Hispanic/Latino,7.8
"Directors, religious activities and education",57,Women,64.9
"Directors, religious activities and education",57,White,94.4
"Directors, religious activities and education",57,Black/African American,2.4
"Directors, religious activities and education",57,Asian,2.1
"Directors, religious activities and education",57,Hispanic/Latino,8.9
"Religious workers, all other",64,Women,71.5
"Religious workers, all other",64,White,77.7
"Religious workers, all other",64,Black/African American,13.4
"Religious workers, all other",64,Asian,6.2
"Religious workers, all other",64,Hispanic/Latino,11.7
Legal occupations,1882,Women,51.9
Legal occupations,1882,White,83.5
Legal occupations,1882,Black/African American,8.6
Legal occupations,1882,Asian,5.6
Legal occupations,1882,Hispanic/Latino,8.3
Lawyers,1183,Women,37.4
Lawyers,1183,White,86.5
Lawyers,1183,Black/African American,6.8
Lawyers,1183,Asian,5.2
Lawyers,1183,Hispanic/Latino,5.8
Judicial law clerks,21,Women,NA
Judicial law clerks,21,White,NA
Judicial law clerks,21,Black/African American,NA
Judicial law clerks,21,Asian,NA
Judicial law clerks,21,Hispanic/Latino,NA
"Judges, magistrates, and other judicial workers",78,Women,53.9
"Judges, magistrates, and other judicial workers",78,White,74.4
"Judges, magistrates, and other judicial workers",78,Black/African American,16.6
"Judges, magistrates, and other judicial workers",78,Asian,5.7
"Judges, magistrates, and other judicial workers",78,Hispanic/Latino,6.2
Paralegals and legal assistants,416,Women,85.8
Paralegals and legal assistants,416,White,79.9
Paralegals and legal assistants,416,Black/African American,10.3
Paralegals and legal assistants,416,Asian,6.8
Paralegals and legal assistants,416,Hispanic/Latino,15.1
"Title examiners, abstractors, and searchers",101,Women,69
"Title examiners, abstractors, and searchers",101,White,76.4
"Title examiners, abstractors, and searchers",101,Black/African American,11.5
"Title examiners, abstractors, and searchers",101,Asian,9.2
"Title examiners, abstractors, and searchers",101,Hispanic/Latino,7.8
"Legal support workers, all other",83,Women,62.8
"Legal support workers, all other",83,White,73.2
"Legal support workers, all other",83,Black/African American,17.6
"Legal support workers, all other",83,Asian,2.9
"Legal support workers, all other",83,Hispanic/Latino,10.1
"Education, training, and library occupations",8902,Women,73.5
"Education, training, and library occupations",8902,White,82
"Education, training, and library occupations",8902,Black/African American,10
"Education, training, and library occupations",8902,Asian,4.9
"Education, training, and library occupations",8902,Hispanic/Latino,10.9
Postsecondary teachers,1156,Women,51.1
Postsecondary teachers,1156,White,79.1
Postsecondary teachers,1156,Black/African American,6.5
Postsecondary teachers,1156,Asian,11.2
Postsecondary teachers,1156,Hispanic/Latino,6.2
Preschool and kindergarten teachers,535,Women,98.8
Preschool and kindergarten teachers,535,White,82.8
Preschool and kindergarten teachers,535,Black/African American,12
Preschool and kindergarten teachers,535,Asian,2.2
Preschool and kindergarten teachers,535,Hispanic/Latino,15.3
Elementary and middle school teachers,3371,Women,79.6
Elementary and middle school teachers,3371,White,84.1
Elementary and middle school teachers,3371,Black/African American,10.5
Elementary and middle school teachers,3371,Asian,2.8
Elementary and middle school teachers,3371,Hispanic/Latino,10.5
Secondary school teachers,963,Women,58.8
Secondary school teachers,963,White,87
Secondary school teachers,963,Black/African American,7.7
Secondary school teachers,963,Asian,3
Secondary school teachers,963,Hispanic/Latino,8.9
Special education teachers,332,Women,81.4
Special education teachers,332,White,87.5
Special education teachers,332,Black/African American,7.2
Special education teachers,332,Asian,1.8
Special education teachers,332,Hispanic/Latino,8.9
Tutors,195,Women,67.4
Tutors,195,White,75.9
Tutors,195,Black/African American,12.4
Tutors,195,Asian,7.5
Tutors,195,Hispanic/Latino,16
Other teachers and instructors,687,Women,67.5
Other teachers and instructors,687,White,79.1
Other teachers and instructors,687,Black/African American,11.6
Other teachers and instructors,687,Asian,6.2
Other teachers and instructors,687,Hispanic/Latino,9.7
"Archivists, curators, and museum technicians",57,Women,63.6
"Archivists, curators, and museum technicians",57,White,94.6
"Archivists, curators, and museum technicians",57,Black/African American,0.6
"Archivists, curators, and museum technicians",57,Asian,4.4
"Archivists, curators, and museum technicians",57,Hispanic/Latino,7.6
Librarians and media collections specialists,176,Women,83.2
Librarians and media collections specialists,176,White,83.1
Librarians and media collections specialists,176,Black/African American,9.5
Librarians and media collections specialists,176,Asian,3.5
Librarians and media collections specialists,176,Hispanic/Latino,9.9
Library technicians,34,Women,NA
Library technicians,34,White,NA
Library technicians,34,Black/African American,NA
Library technicians,34,Asian,NA
Library technicians,34,Hispanic/Latino,NA
Teaching assistants,1220,Women,80.1
Teaching assistants,1220,White,74.1
Teaching assistants,1220,Black/African American,13.6
Teaching assistants,1220,Asian,7.6
Teaching assistants,1220,Hispanic/Latino,16.6
Other educational instruction and library workers,176,Women,73.4
Other educational instruction and library workers,176,White,86.5
Other educational instruction and library workers,176,Black/African American,7.2
Other educational instruction and library workers,176,Asian,4
Other educational instruction and library workers,176,Hispanic/Latino,12.5
"Arts, design, entertainment, sports, and media occupations",3042,Women,51.3
"Arts, design, entertainment, sports, and media occupations",3042,White,82
"Arts, design, entertainment, sports, and media occupations",3042,Black/African American,8.5
"Arts, design, entertainment, sports, and media occupations",3042,Asian,5.9
"Arts, design, entertainment, sports, and media occupations",3042,Hispanic/Latino,11.2
Artists and related workers,256,Women,53.5
Artists and related workers,256,White,85.7
Artists and related workers,256,Black/African American,3.6
Artists and related workers,256,Asian,6.1
Artists and related workers,256,Hispanic/Latino,9.3
Commercial and industrial designers,11,Women,NA
Commercial and industrial designers,11,White,NA
Commercial and industrial designers,11,Black/African American,NA
Commercial and industrial designers,11,Asian,NA
Commercial and industrial designers,11,Hispanic/Latino,NA
Fashion designers,34,Women,NA
Fashion designers,34,White,NA
Fashion designers,34,Black/African American,NA
Fashion designers,34,Asian,NA
Fashion designers,34,Hispanic/Latino,NA
Floral designers,50,Women,81.5
Floral designers,50,White,90
Floral designers,50,Black/African American,2.6
Floral designers,50,Asian,0.8
Floral designers,50,Hispanic/Latino,18.6
Graphic designers,295,Women,57.2
Graphic designers,295,White,83
Graphic designers,295,Black/African American,6.7
Graphic designers,295,Asian,7.8
Graphic designers,295,Hispanic/Latino,14.4
Interior designers,131,Women,84
Interior designers,131,White,79.7
Interior designers,131,Black/African American,6.7
Interior designers,131,Asian,10.6
Interior designers,131,Hispanic/Latino,7.6
Merchandise displayers and window trimmers,24,Women,NA
Merchandise displayers and window trimmers,24,White,NA
Merchandise displayers and window trimmers,24,Black/African American,NA
Merchandise displayers and window trimmers,24,Asian,NA
Merchandise displayers and window trimmers,24,Hispanic/Latino,NA
Other designers,375,Women,41.9
Other designers,375,White,79.2
Other designers,375,Black/African American,6.3
Other designers,375,Asian,11.1
Other designers,375,Hispanic/Latino,11.5
Actors,29,Women,NA
Actors,29,White,NA
Actors,29,Black/African American,NA
Actors,29,Asian,NA
Actors,29,Hispanic/Latino,NA
Producers and directors,181,Women,45.2
Producers and directors,181,White,83.8
Producers and directors,181,Black/African American,6.1
Producers and directors,181,Asian,6.7
Producers and directors,181,Hispanic/Latino,8.7
Athletes and sports competitors,28,Women,NA
Athletes and sports competitors,28,White,NA
Athletes and sports competitors,28,Black/African American,NA
Athletes and sports competitors,28,Asian,NA
Athletes and sports competitors,28,Hispanic/Latino,NA
Coaches and scouts,210,Women,44.8
Coaches and scouts,210,White,75.2
Coaches and scouts,210,Black/African American,14.7
Coaches and scouts,210,Asian,3.5
Coaches and scouts,210,Hispanic/Latino,5.4
"Umpires, referees, and other sports officials",25,Women,NA
"Umpires, referees, and other sports officials",25,White,NA
"Umpires, referees, and other sports officials",25,Black/African American,NA
"Umpires, referees, and other sports officials",25,Asian,NA
"Umpires, referees, and other sports officials",25,Hispanic/Latino,NA
Dancers and choreographers,7,Women,NA
Dancers and choreographers,7,White,NA
Dancers and choreographers,7,Black/African American,NA
Dancers and choreographers,7,Asian,NA
Dancers and choreographers,7,Hispanic/Latino,NA
Music directors and composers,50,Women,30.8
Music directors and composers,50,White,83.3
Music directors and composers,50,Black/African American,10.1
Music directors and composers,50,Asian,2.2
Music directors and composers,50,Hispanic/Latino,14
Musicians and singers,118,Women,31.8
Musicians and singers,118,White,78.5
Musicians and singers,118,Black/African American,12.9
Musicians and singers,118,Asian,3.8
Musicians and singers,118,Hispanic/Latino,13
"Disc jockeys, except radio",15,Women,NA
"Disc jockeys, except radio",15,White,NA
"Disc jockeys, except radio",15,Black/African American,NA
"Disc jockeys, except radio",15,Asian,NA
"Disc jockeys, except radio",15,Hispanic/Latino,NA
"Entertainers and performers, sports and related workers, all other",41,Women,NA
"Entertainers and performers, sports and related workers, all other",41,White,NA
"Entertainers and performers, sports and related workers, all other",41,Black/African American,NA
"Entertainers and performers, sports and related workers, all other",41,Asian,NA
"Entertainers and performers, sports and related workers, all other",41,Hispanic/Latino,NA
Broadcast announcers and radio disc jockeys,28,Women,NA
Broadcast announcers and radio disc jockeys,28,White,NA
Broadcast announcers and radio disc jockeys,28,Black/African American,NA
Broadcast announcers and radio disc jockeys,28,Asian,NA
Broadcast announcers and radio disc jockeys,28,Hispanic/Latino,NA
"News analysts, reporters, and journalists",77,Women,54
"News analysts, reporters, and journalists",77,White,80.1
"News analysts, reporters, and journalists",77,Black/African American,10.9
"News analysts, reporters, and journalists",77,Asian,6.7
"News analysts, reporters, and journalists",77,Hispanic/Latino,5.3
Public relations specialists,145,Women,59.4
Public relations specialists,145,White,83.3
Public relations specialists,145,Black/African American,11
Public relations specialists,145,Asian,3.4
Public relations specialists,145,Hispanic/Latino,13.6
Editors,99,Women,61.1
Editors,99,White,94.5
Editors,99,Black/African American,0.7
Editors,99,Asian,0.8
Editors,99,Hispanic/Latino,8.5
Technical writers,65,Women,50.1
Technical writers,65,White,88
Technical writers,65,Black/African American,7.3
Technical writers,65,Asian,3.6
Technical writers,65,Hispanic/Latino,8
Writers and authors,242,Women,64.9
Writers and authors,242,White,85.1
Writers and authors,242,Black/African American,7.9
Writers and authors,242,Asian,4.3
Writers and authors,242,Hispanic/Latino,2.4
Interpreters and translators,91,Women,72.9
Interpreters and translators,91,White,74.6
Interpreters and translators,91,Black/African American,8.3
Interpreters and translators,91,Asian,11.4
Interpreters and translators,91,Hispanic/Latino,29.4
Court reporters and simultaneous captioners,31,Women,NA
Court reporters and simultaneous captioners,31,White,NA
Court reporters and simultaneous captioners,31,Black/African American,NA
Court reporters and simultaneous captioners,31,Asian,NA
Court reporters and simultaneous captioners,31,Hispanic/Latino,NA
"Media and communication workers, all other",19,Women,NA
"Media and communication workers, all other",19,White,NA
"Media and communication workers, all other",19,Black/African American,NA
"Media and communication workers, all other",19,Asian,NA
"Media and communication workers, all other",19,Hispanic/Latino,NA
"Broadcast, sound, and lighting technicians",77,Women,8
"Broadcast, sound, and lighting technicians",77,White,83.6
"Broadcast, sound, and lighting technicians",77,Black/African American,10.6
"Broadcast, sound, and lighting technicians",77,Asian,5.8
"Broadcast, sound, and lighting technicians",77,Hispanic/Latino,20.2
Photographers,186,Women,52.1
Photographers,186,White,84.9
Photographers,186,Black/African American,6.7
Photographers,186,Asian,5.6
Photographers,186,Hispanic/Latino,10
"Television, video, and film camera operators and editors",100,Women,31.1
"Television, video, and film camera operators and editors",100,White,74.5
"Television, video, and film camera operators and editors",100,Black/African American,16.3
"Television, video, and film camera operators and editors",100,Asian,5.8
"Television, video, and film camera operators and editors",100,Hispanic/Latino,18.5
"Media and communication equipment workers, all other",2,Women,NA
"Media and communication equipment workers, all other",2,White,NA
"Media and communication equipment workers, all other",2,Black/African American,NA
"Media and communication equipment workers, all other",2,Asian,NA
"Media and communication equipment workers, all other",2,Hispanic/Latino,NA
Healthcare practitioners and technical occupations,9559,Women,74.4
Healthcare practitioners and technical occupations,9559,White,75.6
Healthcare practitioners and technical occupations,9559,Black/African American,12.1
Healthcare practitioners and technical occupations,9559,Asian,9.4
Healthcare practitioners and technical occupations,9559,Hispanic/Latino,9.4
Chiropractors,66,Women,22.2
Chiropractors,66,White,90.7
Chiropractors,66,Black/African American,2.4
Chiropractors,66,Asian,5.1
Chiropractors,66,Hispanic/Latino,6.1
Dentists,173,Women,28.7
Dentists,173,White,78.8
Dentists,173,Black/African American,1.4
Dentists,173,Asian,16.6
Dentists,173,Hispanic/Latino,5.5
Dietitians and nutritionists,106,Women,91.4
Dietitians and nutritionists,106,White,74.7
Dietitians and nutritionists,106,Black/African American,15.5
Dietitians and nutritionists,106,Asian,8.2
Dietitians and nutritionists,106,Hispanic/Latino,9.9
Optometrists,42,Women,NA
Optometrists,42,White,NA
Optometrists,42,Black/African American,NA
Optometrists,42,Asian,NA
Optometrists,42,Hispanic/Latino,NA
Pharmacists,327,Women,61.6
Pharmacists,327,White,67.9
Pharmacists,327,Black/African American,8.3
Pharmacists,327,Asian,20
Pharmacists,327,Hispanic/Latino,3.4
Emergency medicine physicians,17,Women,NA
Emergency medicine physicians,17,White,NA
Emergency medicine physicians,17,Black/African American,NA
Emergency medicine physicians,17,Asian,NA
Emergency medicine physicians,17,Hispanic/Latino,NA
Radiologists,25,Women,NA
Radiologists,25,White,NA
Radiologists,25,Black/African American,NA
Radiologists,25,Asian,NA
Radiologists,25,Hispanic/Latino,NA
Other physicians,929,Women,40.6
Other physicians,929,White,67
Other physicians,929,Black/African American,8.5
Other physicians,929,Asian,22
Other physicians,929,Hispanic/Latino,8.8
Surgeons,54,Women,26.3
Surgeons,54,White,82.4
Surgeons,54,Black/African American,4.2
Surgeons,54,Asian,13.4
Surgeons,54,Hispanic/Latino,15.6
Physician assistants,141,Women,65.5
Physician assistants,141,White,79.9
Physician assistants,141,Black/African American,6.3
Physician assistants,141,Asian,12.3
Physician assistants,141,Hispanic/Latino,7.9
Podiatrists,12,Women,NA
Podiatrists,12,White,NA
Podiatrists,12,Black/African American,NA
Podiatrists,12,Asian,NA
Podiatrists,12,Hispanic/Latino,NA
Audiologists,20,Women,NA
Audiologists,20,White,NA
Audiologists,20,Black/African American,NA
Audiologists,20,Asian,NA
Audiologists,20,Hispanic/Latino,NA
Occupational therapists,124,Women,86.3
Occupational therapists,124,White,87.6
Occupational therapists,124,Black/African American,4
Occupational therapists,124,Asian,7.4
Occupational therapists,124,Hispanic/Latino,6.5
Physical therapists,281,Women,67.2
Physical therapists,281,White,77.8
Physical therapists,281,Black/African American,5.2
Physical therapists,281,Asian,15
Physical therapists,281,Hispanic/Latino,4.4
Radiation therapists,10,Women,NA
Radiation therapists,10,White,NA
Radiation therapists,10,Black/African American,NA
Radiation therapists,10,Asian,NA
Radiation therapists,10,Hispanic/Latino,NA
Recreational therapists,21,Women,NA
Recreational therapists,21,White,NA
Recreational therapists,21,Black/African American,NA
Recreational therapists,21,Asian,NA
Recreational therapists,21,Hispanic/Latino,NA
Respiratory therapists,122,Women,72.4
Respiratory therapists,122,White,75
Respiratory therapists,122,Black/African American,18.5
Respiratory therapists,122,Asian,2.3
Respiratory therapists,122,Hispanic/Latino,7
Speech-language pathologists,195,Women,94.4
Speech-language pathologists,195,White,89.7
Speech-language pathologists,195,Black/African American,6.6
Speech-language pathologists,195,Asian,3.6
Speech-language pathologists,195,Hispanic/Latino,8.5
Exercise physiologists,6,Women,NA
Exercise physiologists,6,White,NA
Exercise physiologists,6,Black/African American,NA
Exercise physiologists,6,Asian,NA
Exercise physiologists,6,Hispanic/Latino,NA
"Therapists, all other",233,Women,84.4
"Therapists, all other",233,White,79.2
"Therapists, all other",233,Black/African American,11.7
"Therapists, all other",233,Asian,4.3
"Therapists, all other",233,Hispanic/Latino,12.1
Veterinarians,83,Women,64.9
Veterinarians,83,White,91.9
Veterinarians,83,Black/African American,0
Veterinarians,83,Asian,5.7
Veterinarians,83,Hispanic/Latino,7
Registered nurses,3256,Women,87.4
Registered nurses,3256,White,75.3
Registered nurses,3256,Black/African American,13.4
Registered nurses,3256,Asian,8.7
Registered nurses,3256,Hispanic/Latino,7.9
Nurse anesthetists,42,Women,NA
Nurse anesthetists,42,White,NA
Nurse anesthetists,42,Black/African American,NA
Nurse anesthetists,42,Asian,NA
Nurse anesthetists,42,Hispanic/Latino,NA
Nurse midwives,5,Women,NA
Nurse midwives,5,White,NA
Nurse midwives,5,Black/African American,NA
Nurse midwives,5,Asian,NA
Nurse midwives,5,Hispanic/Latino,NA
Nurse practitioners,218,Women,88
Nurse practitioners,218,White,86.2
Nurse practitioners,218,Black/African American,9.1
Nurse practitioners,218,Asian,3.2
Nurse practitioners,218,Hispanic/Latino,6.3
Acupuncturists,23,Women,NA
Acupuncturists,23,White,NA
Acupuncturists,23,Black/African American,NA
Acupuncturists,23,Asian,NA
Acupuncturists,23,Hispanic/Latino,NA
"Healthcare diagnosing or treating practitioners, all other",15,Women,NA
"Healthcare diagnosing or treating practitioners, all other",15,White,NA
"Healthcare diagnosing or treating practitioners, all other",15,Black/African American,NA
"Healthcare diagnosing or treating practitioners, all other",15,Asian,NA
"Healthcare diagnosing or treating practitioners, all other",15,Hispanic/Latino,NA
Clinical laboratory technologists and technicians,331,Women,70.4
Clinical laboratory technologists and technicians,331,White,72.4
Clinical laboratory technologists and technicians,331,Black/African American,13.7
Clinical laboratory technologists and technicians,331,Asian,9.5
Clinical laboratory technologists and technicians,331,Hispanic/Latino,19
Dental hygienists,190,Women,93.9
Dental hygienists,190,White,88.9
Dental hygienists,190,Black/African American,2.1
Dental hygienists,190,Asian,7.7
Dental hygienists,190,Hispanic/Latino,10.5
Cardiovascular technologists and technicians,50,Women,71.9
Cardiovascular technologists and technicians,50,White,73.9
Cardiovascular technologists and technicians,50,Black/African American,16.2
Cardiovascular technologists and technicians,50,Asian,6.7
Cardiovascular technologists and technicians,50,Hispanic/Latino,12.3
Diagnostic medical sonographers,90,Women,84
Diagnostic medical sonographers,90,White,79.3
Diagnostic medical sonographers,90,Black/African American,9.3
Diagnostic medical sonographers,90,Asian,5.5
Diagnostic medical sonographers,90,Hispanic/Latino,5.1
Radiologic technologists and technicians,254,Women,67.8
Radiologic technologists and technicians,254,White,85.6
Radiologic technologists and technicians,254,Black/African American,6.5
Radiologic technologists and technicians,254,Asian,5.4
Radiologic technologists and technicians,254,Hispanic/Latino,11.2
Magnetic resonance imaging technologists,57,Women,58.8
Magnetic resonance imaging technologists,57,White,74.2
Magnetic resonance imaging technologists,57,Black/African American,16.3
Magnetic resonance imaging technologists,57,Asian,8.6
Magnetic resonance imaging technologists,57,Hispanic/Latino,6.7
Nuclear medicine technologists and medical dosimetrists,35,Women,NA
Nuclear medicine technologists and medical dosimetrists,35,White,NA
Nuclear medicine technologists and medical dosimetrists,35,Black/African American,NA
Nuclear medicine technologists and medical dosimetrists,35,Asian,NA
Nuclear medicine technologists and medical dosimetrists,35,Hispanic/Latino,NA
Emergency medical technicians,141,Women,33.7
Emergency medical technicians,141,White,82.4
Emergency medical technicians,141,Black/African American,11.9
Emergency medical technicians,141,Asian,4
Emergency medical technicians,141,Hispanic/Latino,11.4
Paramedics,78,Women,28.1
Paramedics,78,White,93.2
Paramedics,78,Black/African American,3.9
Paramedics,78,Asian,2.8
Paramedics,78,Hispanic/Latino,8.5
Pharmacy technicians,336,Women,77.2
Pharmacy technicians,336,White,72.8
Pharmacy technicians,336,Black/African American,15
Pharmacy technicians,336,Asian,7.2
Pharmacy technicians,336,Hispanic/Latino,17.6
Psychiatric technicians,67,Women,82.2
Psychiatric technicians,67,White,67.6
Psychiatric technicians,67,Black/African American,24.2
Psychiatric technicians,67,Asian,1.4
Psychiatric technicians,67,Hispanic/Latino,12.1
Surgical technologists,108,Women,71.3
Surgical technologists,108,White,80.9
Surgical technologists,108,Black/African American,14.9
Surgical technologists,108,Asian,2.5
Surgical technologists,108,Hispanic/Latino,17.3
Veterinary technologists and technicians,105,Women,88.1
Veterinary technologists and technicians,105,White,91.8
Veterinary technologists and technicians,105,Black/African American,3.2
Veterinary technologists and technicians,105,Asian,1.2
Veterinary technologists and technicians,105,Hispanic/Latino,9.8
Dietetic technicians and ophthalmic medical technicians,66,Women,73.5
Dietetic technicians and ophthalmic medical technicians,66,White,68.5
Dietetic technicians and ophthalmic medical technicians,66,Black/African American,27.6
Dietetic technicians and ophthalmic medical technicians,66,Asian,2.1
Dietetic technicians and ophthalmic medical technicians,66,Hispanic/Latino,5.3
Licensed practical and licensed vocational nurses,596,Women,90
Licensed practical and licensed vocational nurses,596,White,68
Licensed practical and licensed vocational nurses,596,Black/African American,25.6
Licensed practical and licensed vocational nurses,596,Asian,2.9
Licensed practical and licensed vocational nurses,596,Hispanic/Latino,15.3
Medical records specialists,183,Women,95.9
Medical records specialists,183,White,76.8
Medical records specialists,183,Black/African American,16.1
Medical records specialists,183,Asian,1.7
Medical records specialists,183,Hispanic/Latino,13.2
"Opticians, dispensing",40,Women,NA
"Opticians, dispensing",40,White,NA
"Opticians, dispensing",40,Black/African American,NA
"Opticians, dispensing",40,Asian,NA
"Opticians, dispensing",40,Hispanic/Latino,NA
Miscellaneous health technologists and technicians,185,Women,61.7
Miscellaneous health technologists and technicians,185,White,57.8
Miscellaneous health technologists and technicians,185,Black/African American,24.8
Miscellaneous health technologists and technicians,185,Asian,15.3
Miscellaneous health technologists and technicians,185,Hispanic/Latino,13.5
Other healthcare practitioners and technical occupations,100,Women,62.8
Other healthcare practitioners and technical occupations,100,White,68.9
Other healthcare practitioners and technical occupations,100,Black/African American,17.3
Other healthcare practitioners and technical occupations,100,Asian,10.8
Other healthcare practitioners and technical occupations,100,Hispanic/Latino,3.5
Service occupations,22853,Women,57
Service occupations,22853,White,72.9
Service occupations,22853,Black/African American,17
Service occupations,22853,Asian,5.6
Service occupations,22853,Hispanic/Latino,25
Healthcare support occupations,4790,Women,85.3
Healthcare support occupations,4790,White,64.1
Healthcare support occupations,4790,Black/African American,25.3
Healthcare support occupations,4790,Asian,6.2
Healthcare support occupations,4790,Hispanic/Latino,20.2
Home health aides,571,Women,90.3
Home health aides,571,White,55.3
Home health aides,571,Black/African American,37.4
Home health aides,571,Asian,5
Home health aides,571,Hispanic/Latino,25.4
Personal care aides,1282,Women,81.5
Personal care aides,1282,White,62.6
Personal care aides,1282,Black/African American,22.2
Personal care aides,1282,Asian,9.4
Personal care aides,1282,Hispanic/Latino,21.4
Nursing assistants,1364,Women,89.3
Nursing assistants,1364,White,57
Nursing assistants,1364,Black/African American,35.2
Nursing assistants,1364,Asian,4.7
Nursing assistants,1364,Hispanic/Latino,13.7
Orderlies and psychiatric aides,55,Women,57.5
Orderlies and psychiatric aides,55,White,51.4
Orderlies and psychiatric aides,55,Black/African American,37.2
Orderlies and psychiatric aides,55,Asian,1.2
Orderlies and psychiatric aides,55,Hispanic/Latino,8.7
Occupational therapy assistants and aides,37,Women,NA
Occupational therapy assistants and aides,37,White,NA
Occupational therapy assistants and aides,37,Black/African American,NA
Occupational therapy assistants and aides,37,Asian,NA
Occupational therapy assistants and aides,37,Hispanic/Latino,NA
Physical therapist assistants and aides,78,Women,71.7
Physical therapist assistants and aides,78,White,88.6
Physical therapist assistants and aides,78,Black/African American,6.6
Physical therapist assistants and aides,78,Asian,3.7
Physical therapist assistants and aides,78,Hispanic/Latino,5.8
Massage therapists,151,Women,80.6
Massage therapists,151,White,73.7
Massage therapists,151,Black/African American,10.5
Massage therapists,151,Asian,10
